Gene stable ID,WikiGene name
ENSMMUG00000014742,PTH1R
ENSMMUG00000000308,S100PBP
ENSMMUG00000005818,GNAI3
ENSMMUG00000012752,CEP63
ENSMMUG00000012156,ZCCHC17
ENSMMUG00000009081,TPR
ENSMMUG00000003148,CDC20
ENSMMUG00000000164,PODXL2
ENSMMUG00000007834,NPPA
ENSMMUG00000065038,TAF13
ENSMMUG00000065038,LOC700142
ENSMMUG00000058297,GPR61
ENSMMUG00000007606,CPT2
ENSMMUG00000000158,MCM2
ENSMMUG00000008151,ATP1A1
ENSMMUG00000021921,LRRC40
ENSMMUG00000021399,RERE
ENSMMUG00000062157,AMIGO1
ENSMMUG00000005361,MCOLN3
ENSMMUG00000064353,FABP3
ENSMMUG00000010660,TIE1
ENSMMUG00000022324,FTCD
ENSMMUG00000007605,SLC1A7
ENSMMUG00000007829,CLCN6
ENSMMUG00000010346,KY
ENSMMUG00000011208,DCP1A
ENSMMUG00000009085,ODR4
ENSMMUG00000000985,PLCD1
ENSMMUG00000005816,CYB561D1
ENSMMUG00000009265,WDR47
ENSMMUG00000007604,PODN
ENSMMUG00000019406,SNRNP40
ENSMMUG00000045509,NAALADL2
ENSMMUG00000005815,ATXN7L2
ENSMMUG00000004379,DUSP10
ENSMMUG00000000756,TPRA1
ENSMMUG00000064825,PDC
ENSMMUG00000038708,SYPL2
ENSMMUG00000019743,KIAA1522
ENSMMUG00000011363,SENP7
ENSMMUG00000015403,MCOLN2
ENSMMUG00000004754,IFFO2
ENSMMUG00000016857,PTGS2
ENSMMUG00000007893,HHIPL2
ENSMMUG00000000688,CD96
ENSMMUG00000051186,PSMA5
ENSMMUG00000015402,LPAR3
ENSMMUG00000047454,SYNC
ENSMMUG00000019813,NBEAL2
ENSMMUG00000021423,PLA2G4A
ENSMMUG00000000911,ILDR1
ENSMMUG00000007896,TAF1A
ENSMMUG00000004751,ALDH4A1
ENSMMUG00000008426,TBCE
ENSMMUG00000007828,MTHFR
ENSMMUG00000006203,SSX2IP
ENSMMUG00000013069,UBE2E2
ENSMMUG00000012766,TMEM125
ENSMMUG00000004952,SCP2
ENSMMUG00000000390,CLCC1
ENSMMUG00000001021,MIA3
ENSMMUG00000009940,RBBP4
ENSMMUG00000013520,PUM1
ENSMMUG00000010127,CTBS
ENSMMUG00000014263,GPR137B
ENSMMUG00000000431,MAB21L3
ENSMMUG00000002642,CFAP57
ENSMMUG00000022183,SPATA1
ENSMMUG00000001049,SLC15A2
ENSMMUG00000004677,AGTRAP
ENSMMUG00000012716,NID1
ENSMMUG00000011860,SLC22A15
ENSMMUG00000022182,GNG5
ENSMMUG00000010161,GPSM2
ENSMMUG00000010395,GPR161
ENSMMUG00000022317,COL6A2
ENSMMUG00000013661,PARL
ENSMMUG00000015380,PSRC1
ENSMMUG00000023669,MAD2L2
ENSMMUG00000000406,DNASE2B
ENSMMUG00000009998,NECTIN3
ENSMMUG00000010158,STXBP3
ENSMMUG00000009939,ZBTB8OS
ENSMMUG00000021166,TIPRL
ENSMMUG00000015026,BROX
ENSMMUG00000002752,RPE65
ENSMMUG00000053366,NHLH2
ENSMMUG00000023517,IGSF21
ENSMMUG00000039317,CREB5
ENSMMUG00000019262,CACNA1D
ENSMMUG00000008970,CASQ2
ENSMMUG00000000402,SAMD13
ENSMMUG00000015375,CELSR2
ENSMMUG00000023668,FBXO6
ENSMMUG00000005873,DISP1
ENSMMUG00000005283,SFT2D2
ENSMMUG00000008967,VANGL1
ENSMMUG00000003457,PRKACB
ENSMMUG00000013519,SDC3
ENSMMUG00000042360,JAZF1
ENSMMUG00000016719,CHCHD6
ENSMMUG00000032251,FBXO44
ENSMMUG00000022908,WLS
ENSMMUG00000009667,ZNF385D
ENSMMUG00000001045,IQCB1
ENSMMUG00000032121,ZYG11A
ENSMMUG00000016546,TNFRSF9
ENSMMUG00000049986,FAM183A
ENSMMUG00000009431,HENMT1
ENSMMUG00000008744,LAPTM5
ENSMMUG00000005515,ABCC5
ENSMMUG00000022112,DPPA2
ENSMMUG00000012695,SUSD4
ENSMMUG00000000625,UTS2
ENSMMUG00000016591,TTLL7
ENSMMUG00000001434,ZYG11B
ENSMMUG00000007145,GGPS1
ENSMMUG00000000373,SLC2A1
ENSMMUG00000013546,GOLGB1
ENSMMUG00000018562,PER3
ENSMMUG00000002261,FBXO2
ENSMMUG00000022454,TAX1BP1
ENSMMUG00000008498,PSMG1
ENSMMUG00000021117,SETD2
ENSMMUG00000012698,CCDC185
ENSMMUG00000007141,ARID4B
ENSMMUG00000056103,GADD45A
ENSMMUG00000017344,USP48
ENSMMUG00000002746,TRAT1
ENSMMUG00000055744,ZNF691
ENSMMUG00000061256,GPX7
ENSMMUG00000000652,SERBP1
ENSMMUG00000023134,HIBADH
ENSMMUG00000020320,SEC16B
ENSMMUG00000000651,IL12RB2
ENSMMUG00000032252,UBIAD1
ENSMMUG00000000898,DZIP3
ENSMMUG00000038004,VAMP3
ENSMMUG00000011362,IMPG2
ENSMMUG00000000648,IL23R
ENSMMUG00000013545,HCLS1
ENSMMUG00000019325,MTOR
ENSMMUG00000059313,SVBP
ENSMMUG00000002516,ADGRL2
ENSMMUG00000012182,TRIM46
ENSMMUG00000013543,FBXO40
ENSMMUG00000056855,KCNJ15
ENSMMUG00000006454,KLHL18
